domain	utterance	semantic_parse
messaging	read my text message	[IN:GET_MESSAGE read my text message ]
messaging	Messages	[IN:GET_MESSAGE Messages ]
messaging	read messages on phone	[IN:GET_MESSAGE read messages on phone ]
messaging	Read text message	[IN:GET_MESSAGE Read text message ]
messaging	read message	[IN:GET_MESSAGE read message ]
messaging	Read me my messages	[IN:GET_MESSAGE Read me my messages ]
messaging	Read text message	[IN:GET_MESSAGE Read text message ]
messaging	text David that I will be home later and send message	[IN:SEND_MESSAGE text [SL:RECIPIENT David ] that [SL:CONTENT_EXACT I will be home later ] and send message ]
messaging	go to my text messages	[IN:GET_MESSAGE go to my text messages ]
messaging	Do I have any messages	[IN:GET_MESSAGE Do I have any messages ]
messaging	Message my son and tell him football practice is at 5 a.m.	[IN:SEND_MESSAGE Message [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION son ] ] ] and tell him [SL:CONTENT_EXACT football practice is at 5 a.m ] . ]
messaging	Message Billy Bob and ask her if she has my green blouse from last week	[IN:SEND_MESSAGE Message [SL:RECIPIENT Billy Bob ] and ask her if [SL:CONTENT_EXACT she has my green blouse from last week ] ]
messaging	message Cindy and see if she ever got her windshield fixed.	[IN:SEND_MESSAGE message [SL:RECIPIENT Cindy ] and see if [SL:CONTENT_EXACT she ever got her windshield fixed ] . ]
messaging	Like the message my boss posted yesterday	[IN:REACT_MESSAGE [SL:TYPE_REACTION Like ] the message [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION boss ] ] ] posted [SL:DATE_TIME yesterday ] ]
messaging	Message Erma and ask if I left my coat in her car.	[IN:SEND_MESSAGE Message [SL:RECIPIENT Erma ] and ask if [SL:CONTENT_EXACT I left my coat in her car ] . ]
messaging	Ask if Aubrey is running late	[IN:SEND_MESSAGE Ask if [SL:CONTENT_EXACT Aubrey is running late ] ]
messaging	Like the message Ruby just sent	[IN:REACT_MESSAGE [SL:TYPE_REACTION Like ] the message [SL:RECIPIENT Ruby ] just sent ]
messaging	Message Carlos and ask him what was up his wife last Saturday.	[IN:SEND_MESSAGE Message [SL:RECIPIENT Carlos ] and ask him [SL:CONTENT_EXACT what was up his wife last Saturday ] . ]
messaging	ask erica to send me the pictures of Noa she took at the event	[IN:SEND_MESSAGE ask [SL:RECIPIENT erica ] to [SL:CONTENT_EXACT send me the pictures of Noa she took at the event ] ]
messaging	message the group i'm almost there	[IN:SEND_MESSAGE message the group [SL:CONTENT_EXACT i'm almost there ] ]
messaging	Ask Lauren when she will be home	[IN:SEND_MESSAGE Ask [SL:RECIPIENT Lauren ] [SL:CONTENT_EXACT when she will be home ] ]
messaging	post to sabrina, congrats on the baby	[IN:SEND_MESSAGE post to [SL:RECIPIENT sabrina ] , [SL:CONTENT_EXACT congrats on the baby ] ]
messaging	Tell my daughter I liked her post a message	[IN:SEND_MESSAGE Tell [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION daughter ] ] ] [SL:CONTENT_EXACT I liked her post ] a message ]
messaging	Message Fred asking if he will be attending this evening's Latin club meeting.	[IN:SEND_MESSAGE Message [SL:RECIPIENT Fred ] asking if [SL:CONTENT_EXACT he will be attending this evening 's Latin club meeting ] . ]
