domain	utterance	semantic_parse
navigation	How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION How long will it take to [SL:METHOD_TRAVEL drive ] from [SL:SOURCE Chicago ] to [SL:DESTINATION Mississippi ] ]
navigation	Will it take shorter to get to the White House by bus or taxi?	[IN:UNSUPPORTED_NAVIGATION Will it take shorter to get to the White House by bus or taxi ? ]
navigation	will I make it to the beach by noon if I leave now	[IN:GET_ESTIMATED_ARRIVAL will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] if I leave [SL:DATE_TIME_DEPARTURE now ] ]
navigation	When should I leave my house to get to the Hamilton Mall right when it opens on Saturday	[IN:GET_ESTIMATED_DEPARTURE When should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Hamilton Mall ] ] ] [SL:DATE_TIME_ARRIVAL right when it opens on Saturday ] ]
navigation	I need to know if there's a lot of traffic on my way home	[IN:GET_INFO_TRAFFIC I need to know if there 's a lot of traffic on my way [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
navigation	What is the shortest way home	[IN:GET_DIRECTIONS What is the shortest way [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
navigation	how long will it take me to drive to fort collins	[IN:GET_ESTIMATED_DURATION how long will it take me to [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION fort collins ] ]
navigation	how long would it take to ride a bus to jeddah from madina travelling at 8AM?	[IN:GET_ESTIMATED_DURATION how long would it take to ride a [SL:METHOD_TRAVEL bus ] to [SL:DESTINATION jeddah ] from [SL:SOURCE madina ] travelling [SL:DATE_TIME_DEPARTURE at 8AM ] ? ]
navigation	traffic to Midway Airport	[IN:GET_INFO_TRAFFIC traffic to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Midway Airport ] ] ] ]
navigation	IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE  ON THE WAY TO BROOKLYN	[IN:GET_INFO_TRAFFIC IS THERE TRAFFIC CONGESTION ON [SL:PATH [IN:GET_LOCATION [SL:POINT_ON_MAP THE VERRAZZANO BRIDGE ] ] ] ON THE WAY TO [SL:DESTINATION BROOKLYN ] ]
