domain	utterance	semantic_parse
reminder	remind me to write thank you letters to invited	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO write thank you letters to invited ] ]
reminder	Remind me of the information in the note section of my  doctor's appointment	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] of [SL:TODO the information in the note section of my doctor 's appointment ] ]
reminder	remind me to take my meds at 8am and 6pm daily	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO take my meds ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME at 8 am ] and [SL:DATE_TIME 6 pm ] [SL:FREQUENCY daily ] ] ] ]
reminder	I need to text Nicquana tonight at 7pm. Can you remind me?	[IN:CREATE_REMINDER I need to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Nicquana ] [SL:DATE_TIME tonight at 7 pm ] ] ] . Can you remind [SL:PERSON_REMINDED me ] ? ]
reminder	Remind me to change my flight to New York.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO change my flight to New York ] . ]
reminder	delete my reminder to do my homework tonight	[IN:DELETE_REMINDER delete [SL:PERSON_REMINDED my ] reminder to [SL:TODO do my homework ] [SL:DATE_TIME tonight ] ]
reminder	please remind me on Saturday at 9 am to leave Justin a message about the upcoming meeting on Monday	[IN:CREATE_REMINDER please remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME on Saturday at 9 am ] to [SL:TODO [IN:SEND_MESSAGE leave [SL:RECIPIENT Justin ] a message about [SL:CONTENT_EXACT [IN:GET_EVENT the upcoming [SL:CATEGORY_EVENT meeting ] [SL:DATE_TIME on Monday ] ] ] ] ] ]
reminder	Remind me 30 min before the Fluid dynamics exam starts	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME 30 min before ] [SL:TODO the Fluid dynamics exam ] starts ]
reminder	Remind me at 5PM to schedule my hair appointment for next month	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME at 5 PM ] to [SL:TODO [IN:GET_TODO [SL:TODO schedule my hair appointment ] [SL:DATE_TIME for next month ] ] ] ]
reminder	REMIND MY BAND TO BRING THEIR GEAR FOR TOMORROW NIGHT'S PERFORMANCE.	[IN:CREATE_REMINDER REMIND [SL:PERSON_REMINDED MY BAND ] TO [SL:TODO [IN:GET_TODO [SL:TODO BRING THEIR GEAR ] [SL:DATE_TIME FOR TOMORROW NIGHT 'S ] [SL:TODO PERFORMANCE ] ] ] . ]
reminder	Remind me to buy movie tickets for Avengers: Infinity War for Saturday movie showings.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO buy movie tickets for Avengers : Infinity War ] [SL:DATE_TIME for Saturday ] [SL:TODO movie showings ] ] ] . ]
reminder	Remind me to pack my lunch for tomorrow.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pack my lunch ] [SL:DATE_TIME for tomorrow ] . ]
reminder	erase reminder to attend conference this monday	[IN:DELETE_REMINDER erase reminder to [SL:TODO attend conference ] [SL:DATE_TIME this monday ] ]
reminder	Set up a weekly reminder to do grocery shopping on Saturdays by 12:00 pm.	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] reminder to [SL:TODO [IN:GET_TODO [SL:TODO do grocery shopping ] [SL:DATE_TIME on Saturdays by 12 : 00 pm ] ] ] . ]
reminder	Remind me to play the baby's lullaby's for her at nap time	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO play the baby 's lullaby 's for her at nap time ] ]
reminder	Set up a biweekly reminder to notify the team about the meeting	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY biweekly ] ] ] reminder to [SL:TODO notify the team about the meeting ] ]
reminder	I need to modify one of my son's reminders.	[IN:UPDATE_REMINDER I need to modify [SL:AMOUNT one ] of [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION son ] ] ] 's reminders . ]
reminder	reminder me to pick up my son from practice on Tuesday at 6	[IN:CREATE_REMINDER reminder [SL:PERSON_REMINDED me ] to [SL:TODO pick up my son from practice ] [SL:DATE_TIME on Tuesday at 6 ] ]
reminder	Alert me in 15 minutes to leave the house to pick up birthday cake.	[IN:CREATE_REMINDER Alert [SL:PERSON_REMINDED me ] [SL:DATE_TIME in 15 minutes ] to [SL:TODO leave the house to pick up birthday cake ] . ]
reminder	remind me to brush my teeth tonight	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO brush my teeth ] [SL:DATE_TIME tonight ] ]
reminder	Update the dog reminder to dog and cat.	[IN:UPDATE_REMINDER_TODO Update the [SL:TODO dog ] reminder to [SL:TODO_NEW dog and cat ] . ]
reminder	remind me to buy a christmas gift for lee ann on december 24	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO buy a christmas gift for lee ann ] [SL:DATE_TIME on december 24 ] ]
reminder	Remind me of my chiropractic appointment on Monday at 10am.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] of [SL:TODO my chiropractic appointment ] [SL:DATE_TIME on Monday at 10 am ] . ]
reminder	Remind my husband to pick up my prescription tomorrow.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION husband ] ] ] to [SL:TODO pick up my prescription ] [SL:DATE_TIME tomorrow ] . ]
