domain	utterance	seqlogical
weather	What counties have a tornado warning	[IN:UNSUPPORTED_WEATHER What counties have a tornado warning ]
weather	Should I wear rain boots	[IN:GET_WEATHER Should I wear [SL:WEATHER_ATTRIBUTE rain boots ] ]
weather	Will the clouds come out today?	[IN:GET_WEATHER Will the [SL:WEATHER_ATTRIBUTE clouds ] come out [SL:DATE_TIME today ] ? ]
weather	Will there be a rain delay at the airport?	[IN:GET_WEATHER Will there be a [SL:WEATHER_ATTRIBUTE rain ] delay at the airport ? ]
weather	What's the weather forecast?	[IN:GET_WEATHER What 's the weather forecast ? ]
weather	will it rain today	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ]
weather	how hot is it in florida?	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE hot ] is it in [SL:LOCATION florida ] ? ]
weather	It is going to snow in Ohio?	[IN:GET_WEATHER It is going to [SL:WEATHER_ATTRIBUTE snow ] in [SL:LOCATION Ohio ] ? ]
weather	Temperature tomorrow morning for Dehli Fahrenheit	[IN:GET_WEATHER Temperature [SL:DATE_TIME tomorrow morning ] for [SL:LOCATION Dehli ] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ]
weather	for Saturday what are you forecasting	[IN:GET_WEATHER [SL:DATE_TIME for Saturday ] what are you forecasting ]
weather	Tell me the current temperature in Fahrenheit.	[IN:GET_WEATHER Tell me the current temperature in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] . ]
weather	do I need a sweater tonight	[IN:GET_WEATHER do I need a [SL:WEATHER_ATTRIBUTE sweater ] [SL:DATE_TIME tonight ] ]
weather	Give me the weather for the Azores	[IN:GET_WEATHER Give me the weather for the [SL:LOCATION Azores ] ]
weather	What is the current weather in Palermo, Italy?	[IN:GET_WEATHER What is the current weather in [SL:LOCATION Palermo , Italy ] ? ]
weather	Forecast for Norway.	[IN:GET_WEATHER Forecast for [SL:LOCATION Norway ] . ]
weather	What is the weather like in France?	[IN:GET_WEATHER What is the weather like in [SL:LOCATION France ] ? ]
weather	How is the weather in Minneapolis in the morning time?	[IN:GET_WEATHER How is the weather in [SL:LOCATION Minneapolis ] [SL:DATE_TIME in the morning ] time ? ]
weather	In Adelaide what will the weather be on Tuesday morning?	[IN:GET_WEATHER In [SL:LOCATION Adelaide ] what will the weather be [SL:DATE_TIME on Tuesday morning ] ? ]
weather	do you think ill be able to play outside this afternoon	[IN:UNSUPPORTED_WEATHER do you think ill be able to play outside this afternoon ]
weather	I need to know the weather forecast for Madrid.	[IN:GET_WEATHER I need to know the weather forecast for [SL:LOCATION Madrid ] . ]
weather	Is there going to be a storm this afternoon	[IN:GET_WEATHER Is there going to be a [SL:WEATHER_ATTRIBUTE storm ] [SL:DATE_TIME this afternoon ] ]
weather	Will I need snow boots?	[IN:GET_WEATHER Will I need [SL:WEATHER_ATTRIBUTE snow boots ] ? ]
weather	Are there any fog warnings for my commute today	[IN:GET_WEATHER Are there any fog warnings for my commute [SL:DATE_TIME today ] ]
weather	What will the weather be like in New York at 1:00pm?	[IN:GET_WEATHER What will the weather be like in [SL:LOCATION New York ] [SL:DATE_TIME at 1 : 00 pm ] ? ]
weather	Please tell me tonight's rainfall	[IN:GET_WEATHER Please tell me [SL:DATE_TIME tonight ] 's [SL:WEATHER_ATTRIBUTE rainfall ] ]
weather	what time is the sun setting today	[IN:GET_SUNSET what time is the sun setting [SL:DATE_TIME today ] ]
weather	when does the sun set today?	[IN:GET_SUNSET when does the sun set [SL:DATE_TIME today ] ? ]
weather	Is it below 55 in Fahrenheit out there tonight	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 55 ] in [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] [SL:LOCATION out there ] [SL:DATE_TIME tonight ] ]
weather	Will it be around 67 in degrees Celcius at Mumbai tomorrow	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 67 ] in degrees [SL:WEATHER_TEMPERATURE_UNIT Celcius ] at [SL:LOCATION Mumbai ] [SL:DATE_TIME tomorrow ] ]
weather	Are there any named hurricanes in Fl	[IN:UNSUPPORTED_WEATHER Are there any named [SL:WEATHER_ATTRIBUTE hurricanes ] in [SL:LOCATION Fl ] ]
weather	Will it be around 73 in f inside tonight	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 73 ] in [SL:WEATHER_TEMPERATURE_UNIT f ] [SL:LOCATION inside ] [SL:DATE_TIME tonight ] ]
