domain	utterance	seqlogical
weather	Will the clouds clear up in the afternoon	[IN:GET_WEATHER Will the [SL:WEATHER_ATTRIBUTE clouds ] [SL:WEATHER_ATTRIBUTE clear ] up [SL:DATE_TIME in the afternoon ] ]
weather	I need to know what the weather will be like at 7pm.	[IN:GET_WEATHER I need to know what the weather will be like [SL:DATE_TIME at 7 pm ] . ]
weather	what is today's forecast for texas	[IN:GET_WEATHER what is today 's forecast for [SL:LOCATION texas ] ]
weather	Weekend forecast.	[IN:GET_WEATHER [SL:DATE_TIME Weekend ] forecast . ]
weather	What will the weather be like on Monday 5th May at  3:00pm in England.	[IN:GET_WEATHER What will the weather be like [SL:DATE_TIME on Monday 5th May at 3 : 00 pm ] in [SL:LOCATION England ] . ]
weather	What sort of weather will be having this weekend	[IN:GET_WEATHER What sort of weather will be having [SL:DATE_TIME this weekend ] ]
weather	How much rain is expected?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE rain ] is expected ? ]
weather	Tell me what the weather will be like at the weekend	[IN:GET_WEATHER Tell me what the weather will be like [SL:DATE_TIME at the weekend ] ]
weather	what is happening with the weather at 3pm	[IN:GET_WEATHER what is happening with the weather [SL:DATE_TIME at 3 pm ] ]
weather	what is the temperature in atlanta	[IN:GET_WEATHER what is the temperature in [SL:LOCATION atlanta ] ]
weather	Temperature near Madrid this weekend F	[IN:GET_WEATHER Temperature near [SL:LOCATION Madrid ] [SL:DATE_TIME this weekend ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	Tell me what it's going to feel like in the Maldives.	[IN:GET_WEATHER Tell me what it 's going to feel like in [SL:LOCATION the Maldives ] . ]
weather	Is it windy outside?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE windy ] outside ? ]
weather	Whats today's local weather forecast	[IN:GET_WEATHER Whats [SL:DATE_TIME today ] 's local weather forecast ]
weather	today's temperature	[IN:GET_WEATHER [SL:DATE_TIME today ] 's temperature ]
weather	is it going to rain tonight	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME tonight ] ]
weather	Weather in Thailand please.	[IN:GET_WEATHER Weather in [SL:LOCATION Thailand ] please . ]
weather	Is it going to be above 63 in degree F paris tomorrow	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE above ] [SL:WEATHER_ATTRIBUTE 63 ] in degree [SL:WEATHER_TEMPERATURE_UNIT F ] [SL:LOCATION paris ] [SL:DATE_TIME tomorrow ] ]
weather	Weather tonight?	[IN:GET_WEATHER Weather [SL:DATE_TIME tonight ] ? ]
weather	Do I need to take an umbrella to work?	[IN:GET_WEATHER Do I need to take an [SL:WEATHER_ATTRIBUTE umbrella ] to [SL:LOCATION work ] ? ]
weather	Whats the weather in Miami?	[IN:GET_WEATHER Whats the weather in [SL:LOCATION Miami ] ? ]
weather	what is the weather in Maine?	[IN:GET_WEATHER what is the weather in [SL:LOCATION Maine ] ? ]
weather	should I dress warm this afternoon?	[IN:GET_WEATHER should I dress [SL:WEATHER_ATTRIBUTE warm ] [SL:DATE_TIME this afternoon ] ? ]
weather	What is the temperature at the beach?	[IN:GET_WEATHER What is the temperature at the [SL:LOCATION beach ] ? ]
