domain	utterance	semantic_parse
weather	Whats the weather supposed to be today	[IN:GET_WEATHER Whats the weather supposed to be [SL:DATE_TIME today ] ]
weather	how cold is it?	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE cold ] is it ? ]
weather	Can I get the 10 day forecast for Phoenix?	[IN:GET_WEATHER Can I get the [SL:DATE_TIME 10 day ] [SL:WEATHER_ATTRIBUTE forecast ] for [SL:LOCATION Phoenix ] ? ]
weather	What is the weather news for today?	[IN:GET_WEATHER What is the weather news [SL:DATE_TIME for today ] ? ]
weather	Tell me the weather conditions	[IN:GET_WEATHER Tell me the weather conditions ]
weather	What's the weather like Saturday?	[IN:GET_WEATHER What 's the weather like [SL:DATE_TIME Saturday ] ? ]
weather	where is it going to rain in the area today	[IN:GET_WEATHER where is it going to [SL:WEATHER_ATTRIBUTE rain ] in the [SL:LOCATION area ] [SL:DATE_TIME today ] ]
weather	Check upcoming weather reports.	[IN:GET_WEATHER Check upcoming weather reports . ]
weather	How warm is it outside right now?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it outside right now ? ]
weather	Is it cold out?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE cold ] [SL:LOCATION out ] ? ]
weather	How is the weather in Jacksonville	[IN:GET_WEATHER How is the weather in [SL:LOCATION Jacksonville ] ]
weather	is it going to be hot today?	[IN:GET_WEATHER is it going to be [SL:WEATHER_ATTRIBUTE hot ] [SL:DATE_TIME today ] ? ]
weather	temperature in New York	[IN:GET_WEATHER temperature in [SL:LOCATION New York ] ]
weather	This Sunday's weather in Los Angeles.	[IN:GET_WEATHER [SL:DATE_TIME This Sunday ] 's weather in [SL:LOCATION Los Angeles ] . ]
weather	Is it going to be sunny all day?	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME all day ] ? ]
weather	How many days are going to rain this week?	[IN:GET_WEATHER How many days are going to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME this week ] ? ]
weather	will it rain at my house today	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE rain ] at [SL:LOCATION my house ] [SL:DATE_TIME today ] ]
weather	will I need a heavy coat today	[IN:GET_WEATHER will I need a heavy [SL:WEATHER_ATTRIBUTE coat ] [SL:DATE_TIME today ] ]
weather	How cloudy is it?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cloudy ] is it ? ]
weather	Is it going to rain today?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	What is the highest temperature going to be over the next 8 days	[IN:GET_WEATHER What is the highest temperature going to be over the [SL:DATE_TIME next 8 days ] ]
weather	What is the highs in Vegas this weekend?	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE highs ] in [SL:LOCATION Vegas ] [SL:DATE_TIME this weekend ] ? ]
weather	WHAT ARE THE CHANCES FOR RAIN	[IN:GET_WEATHER WHAT ARE THE CHANCES FOR [SL:WEATHER_ATTRIBUTE RAIN ] ]
weather	should I wear pants or shorts today?	[IN:GET_WEATHER should I wear [SL:WEATHER_ATTRIBUTE pants ] or [SL:WEATHER_ATTRIBUTE shorts ] [SL:DATE_TIME today ] ? ]
weather	is it going to snow friday	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME friday ] ]
weather	When is it going to rain next in Phoenix?	[IN:GET_WEATHER When is it going to [SL:WEATHER_ATTRIBUTE rain ] next in [SL:LOCATION Phoenix ] ? ]
weather	is it going to snow through the spring in upstate new york	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME through the spring ] in upstate [SL:LOCATION new york ] ]
weather	Will the weather be above 80 degrees tomorrow	[IN:GET_WEATHER Will the weather be [SL:WEATHER_ATTRIBUTE above 80 ] degrees [SL:DATE_TIME tomorrow ] ]
weather	is there any thunderstorms in the forecast this week	[IN:GET_WEATHER is there any [SL:WEATHER_ATTRIBUTE thunderstorms ] in the forecast [SL:DATE_TIME this week ] ]
weather	Is it supposed to rain today?	[IN:GET_WEATHER Is it supposed to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	Is there a thunderstorm watch?	[IN:GET_WEATHER Is there a [SL:WEATHER_ATTRIBUTE thunderstorm ] watch ? ]
weather	What is the weather like this weekend?	[IN:GET_WEATHER What is the weather like [SL:DATE_TIME this weekend ] ? ]
weather	Is there going to be rain in Green Bay, WI today?	[IN:GET_WEATHER Is there going to be [SL:WEATHER_ATTRIBUTE rain ] in [SL:LOCATION Green Bay , WI ] [SL:DATE_TIME today ] ? ]
weather	should i bring an umbrella	[IN:GET_WEATHER should i bring an [SL:WEATHER_ATTRIBUTE umbrella ] ]
weather	do i need sunscreen today	[IN:GET_WEATHER do i need [SL:WEATHER_ATTRIBUTE sunscreen ] [SL:DATE_TIME today ] ]
weather	Is it cold in croatia right now?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE cold ] in [SL:LOCATION croatia ] right now ? ]
weather	Will it be raining at lunch time today?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE raining ] at lunch time [SL:DATE_TIME today ] ? ]
weather	How much snow are we projected to get today?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE snow ] are we projected to get [SL:DATE_TIME today ] ? ]
weather	what is the highest temp today	[IN:GET_WEATHER what is the highest temp [SL:DATE_TIME today ] ]
weather	What is the weather for South Beach tomorrow at 11am?	[IN:GET_WEATHER What is the weather for [SL:LOCATION South Beach ] [SL:DATE_TIME tomorrow at 11 am ] ? ]
weather	what's the local forecast for savannah	[IN:GET_WEATHER what 's the local forecast for [SL:LOCATION savannah ] ]
weather	Will it be sunny next Thursday?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME next Thursday ] ? ]
weather	Is there sleet predicted for Pennsylvania tomorrow?	[IN:GET_WEATHER Is there [SL:WEATHER_ATTRIBUTE sleet ] predicted for [SL:LOCATION Pennsylvania ] [SL:DATE_TIME tomorrow ] ? ]
weather	Show me the weather?	[IN:GET_WEATHER Show me the weather ? ]
weather	What the temperature today?	[IN:GET_WEATHER What the temperature [SL:DATE_TIME today ] ? ]
weather	What is the low temperature today	[IN:GET_WEATHER What is the low temperature [SL:DATE_TIME today ] ]
weather	How long is it supposed to rain?	[IN:GET_WEATHER How long is it supposed to [SL:WEATHER_ATTRIBUTE rain ] ? ]
weather	when is it going to be sunny out	[IN:GET_WEATHER when is it going to be [SL:WEATHER_ATTRIBUTE sunny ] [SL:LOCATION out ] ]
weather	is snow in the forecast	[IN:GET_WEATHER is [SL:WEATHER_ATTRIBUTE snow ] in the forecast ]
weather	Can I wear shorts today?	[IN:GET_WEATHER Can I wear [SL:WEATHER_ATTRIBUTE shorts ] [SL:DATE_TIME today ] ? ]
weather	will the beach be sunny tomorrow	[IN:GET_WEATHER will the [SL:LOCATION beach ] be [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME tomorrow ] ]
weather	whats the weather like in paris next week	[IN:GET_WEATHER whats the weather like in [SL:LOCATION paris ] [SL:DATE_TIME next week ] ]
weather	what did the news say the weather would be like in florida	[IN:GET_WEATHER what did the news say the weather would be like in [SL:LOCATION florida ] ]
weather	What is the sunset tonight?	[IN:GET_SUNSET What is the sunset [SL:DATE_TIME tonight ] ? ]
weather	What will the weather be like in Cancun Mexico today?	[IN:GET_WEATHER What will the weather be like in [SL:LOCATION Cancun Mexico ] [SL:DATE_TIME today ] ? ]
weather	Is there a storm coming?	[IN:GET_WEATHER Is there a [SL:WEATHER_ATTRIBUTE storm ] coming ? ]
weather	what time will the rain stop	[IN:GET_WEATHER what time will the [SL:WEATHER_ATTRIBUTE rain ] stop ]
weather	What is the weather forecast?	[IN:GET_WEATHER What is the weather forecast ? ]
weather	What's the forecast for every day of the week?	[IN:GET_WEATHER What 's the forecast [SL:DATE_TIME for every day of the week ] ? ]
weather	Is it raining today in new York ?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE raining ] [SL:DATE_TIME today ] in [SL:LOCATION new York ] ? ]
weather	What's the low temperature supposed to be today?	[IN:GET_WEATHER What 's the low temperature supposed to be [SL:DATE_TIME today ] ? ]
