domain	utterance	seqlogical
reminder	Set a reminder to change air filter once a month	[IN:CREATE_REMINDER Set a reminder to [SL:TODO change air filter ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY once a month ] ] ] ]
reminder	What are my reminders about this weeks birthday's	[IN:GET_REMINDER What are [SL:PERSON_REMINDED my ] reminders about [SL:TODO [IN:GET_TODO [SL:DATE_TIME this weeks ] [SL:TODO birthday 's ] ] ] ]
reminder	remind me to drink water every hour	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO drink water ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every hour ] ] ] ]
reminder	Before I forgot, cancel tomorrow's reminder to get up at 7 am.	[IN:DELETE_REMINDER Before I forgot , cancel [SL:DATE_TIME tomorrow ] 's reminder to [SL:TODO [IN:GET_TODO [SL:TODO get up ] [SL:DATE_TIME at 7 am ] ] ] . ]
reminder	Please cancel all reminders.	[IN:DELETE_REMINDER Please cancel [SL:AMOUNT all ] reminders . ]
reminder	Set a bed time reminder for 9 p.m.	[IN:CREATE_REMINDER Set a [SL:TODO bed time ] reminder [SL:DATE_TIME for 9 p.m . ] ]
reminder	remind me to pay phone bill tomorrow morning	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO pay phone bill ] [SL:DATE_TIME tomorrow morning ] ]
reminder	Remind me on Wednesday instead of Friday to water the plants.	[IN:UPDATE_REMINDER_DATE_TIME Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME_NEW on Wednesday ] instead [SL:DATE_TIME of Friday ] to [SL:TODO water the plants ] . ]
reminder	Show all of my reminders for tomorrow.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:AMOUNT all ] of [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for tomorrow ] . ]
reminder	Remind me of the kids back to school this Thursday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] of [SL:TODO the kids back to school ] [SL:DATE_TIME this Thursday ] ]
reminder	Set up a daily reminder for my daughter to read for 30 minutes.	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] reminder for [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION daughter ] ] ] to [SL:TODO [IN:GET_TODO [SL:TODO read ] [SL:DATE_TIME for 30 minutes ] ] ] . ]
reminder	what reminders do i have today?	[IN:GET_REMINDER what reminders do [SL:PERSON_REMINDED i ] have [SL:DATE_TIME today ] ? ]
reminder	Remind me to wear pink for the charity event Saturday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO wear pink for the charity event ] [SL:DATE_TIME Saturday ] . ]
reminder	Remind me to buy donuts for kids	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO buy donuts for kids ] ]
reminder	provide all the reminders for October month	[IN:GET_REMINDER provide [SL:AMOUNT all ] the reminders [SL:DATE_TIME for October month ] ]
reminder	remind me to renew my subscription	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO renew my subscription ] ]
reminder	Remind me to buy plane tickets to Florida on August 7th, 2019.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO buy plane tickets to Florida ] [SL:DATE_TIME on August 7th , 2019 ] . ]
reminder	What reminders are set for this week?	[IN:GET_REMINDER What reminders are set [SL:DATE_TIME for this week ] ? ]
reminder	Every day of the week, remind me of how grateful I am for my children and God who gave them to me.	[IN:CREATE_REMINDER [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY Every day of the week ] ] ] , remind [SL:PERSON_REMINDED me ] of [SL:TODO how grateful I am for my children and God who gave them to me ] . ]
reminder	Remind me to water the plants every Monday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO water the plants ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every ] [SL:DATE_TIME Monday ] ] ] ]
reminder	Remove the reminder to set an annual appointment with the dentist	[IN:DELETE_REMINDER Remove the reminder to [SL:TODO [IN:GET_TODO [SL:TODO set ] an [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY annual ] ] ] [SL:TODO appointment with the dentist ] ] ] ]
reminder	what reminders were on my schedule for last week	[IN:GET_REMINDER what reminders were on [SL:PERSON_REMINDED my ] schedule [SL:DATE_TIME for last week ] ]
reminder	What reminders do I have set up for this weekend?	[IN:GET_REMINDER What reminders do [SL:PERSON_REMINDED I ] have set up [SL:DATE_TIME for this weekend ] ? ]
reminder	set a reminder to walk Allens dog everyday staring this Thursday until Saturday	[IN:CREATE_REMINDER set a reminder to [SL:TODO walk Allens dog ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY everyday ] [SL:DATE_TIME staring this Thursday until Saturday ] ] ] ]
