domain	utterance	seqlogical
reminder	remind me to turn the water off in 15 minutes	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO turn the water off ] [SL:DATE_TIME in 15 minutes ] ]
reminder	Remind me to buy milk tomorrow	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO buy milk ] [SL:DATE_TIME tomorrow ] ]
reminder	Remind Andrea of Carole's birthday Sunday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED Andrea ] of [SL:TODO Carole 's birthday ] [SL:DATE_TIME Sunday ] ]
reminder	Remove my dinner reminder with Alex for tomorrow night.	[IN:DELETE_REMINDER Remove [SL:TODO [IN:GET_TODO [SL:TODO my dinner ] reminder with [SL:ATTENDEE Alex ] ] ] [SL:DATE_TIME for tomorrow night ] . ]
reminder	Remind me to fill out my timesheet tomorrow.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO fill out my timesheet ] [SL:DATE_TIME tomorrow ] . ]
reminder	Alert me that I have to pay the electricity bill due on the 30th of this month.	[IN:CREATE_REMINDER Alert [SL:PERSON_REMINDED me ] that I have to [SL:TODO pay the electricity bill due ] [SL:DATE_TIME on the 30th of this month ] . ]
reminder	Update the grocery list reminder with eggs added.	[IN:UPDATE_REMINDER_TODO Update the [SL:TODO grocery list ] reminder with [SL:TODO_NEW eggs ] added . ]
reminder	Remind me to order new contacts in December	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO order new contacts ] [SL:DATE_TIME in December ] ]
reminder	show all my reminders	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER show ] [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminders ]
reminder	Remind us 20 minutes before 7pm that we have to leave for our flight.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED us ] [SL:DATE_TIME 20 minutes before 7 pm ] that we have to [SL:TODO leave for our flight ] . ]
reminder	i need a list of dinner reminders	[IN:GET_REMINDER [SL:PERSON_REMINDED i ] need a list of [SL:TODO dinner ] reminders ]
reminder	Remind me to turn off the alarm before leaving.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO turn off the alarm before leaving ] . ]
reminder	Remind me to pick up dinner tomorrow night	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up dinner ] [SL:DATE_TIME tomorrow night ] ]
reminder	Show my reminders about guitars	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED my ] reminders about [SL:TODO guitars ] ]
reminder	Set reminder for girls weekend activities starting Friday night.	[IN:CREATE_REMINDER Set reminder for [SL:TODO girls weekend activities ] [SL:DATE_TIME starting Friday night ] . ]
reminder	Please remind me I have a meeting with a client tomorrow morning at 7	[IN:CREATE_REMINDER Please remind [SL:PERSON_REMINDED me ] I have [SL:TODO [IN:GET_TODO [SL:TODO a meeting ] with [SL:ATTENDEE a client ] ] ] [SL:DATE_TIME tomorrow morning at 7 ] ]
reminder	Get all my reminders i set to have sex last year.	[IN:GET_REMINDER Get [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminders i set to [SL:TODO have sex ] [SL:DATE_TIME last year ] . ]
reminder	Remove the reminder to go to the doctor tomorrow.	[IN:DELETE_REMINDER Remove the reminder to [SL:TODO go to the doctor ] [SL:DATE_TIME tomorrow ] . ]
