domain	utterance	semantic_parse
timer	Set a timer for 2 hours	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 2 hours ] ]
timer	Pause all timers	[IN:PAUSE_TIMER Pause [SL:AMOUNT all ] [SL:METHOD_TIMER timers ] ]
timer	how many minutes do i have l left on my timer	[IN:GET_TIMER how many minutes do i have l left on my [SL:METHOD_TIMER timer ] ]
timer	create timer for 20 minutes	[IN:CREATE_TIMER create [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 20 minutes ] ]
timer	Add time for 15 minutes for jogging	[IN:ADD_TIME_TIMER Add [SL:METHOD_TIMER time ] [SL:DATE_TIME for 15 minutes ] for jogging ]
timer	Have 5 minutes past yet	[IN:GET_TIMER Have [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME 5 minutes ] ] ] past yet ]
timer	How long has the timer been running?	[IN:GET_TIMER How long has the [SL:METHOD_TIMER timer ] been running ? ]
timer	Can you reset my timer.	[IN:RESTART_TIMER Can you reset my [SL:METHOD_TIMER timer ] . ]
timer	how much time is left on this timer?	[IN:GET_TIMER how much time is left on this [SL:METHOD_TIMER timer ] ? ]
timer	remove two minutes from the timer	[IN:SUBTRACT_TIME_TIMER remove [SL:DATE_TIME two minutes ] from the [SL:METHOD_TIMER timer ] ]
timer	Pause countdown	[IN:PAUSE_TIMER Pause [SL:METHOD_TIMER countdown ] ]
timer	Delete all timers	[IN:DELETE_TIMER Delete [SL:AMOUNT all ] [SL:METHOD_TIMER timers ] ]
timer	How long until my timer goes off?	[IN:GET_TIMER How long until my [SL:METHOD_TIMER timer ] goes off ? ]
timer	Set a timer for ten minutes.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for ten minutes ] . ]
timer	Cancel timer	[IN:DELETE_TIMER Cancel [SL:METHOD_TIMER timer ] ]
timer	Add 10 minutes to my timer.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 10 minutes ] to my [SL:METHOD_TIMER timer ] . ]
timer	refresh my timer	[IN:RESUME_TIMER refresh my [SL:METHOD_TIMER timer ] ]
timer	Tell me what the timer says.	[IN:GET_TIMER Tell me what the [SL:METHOD_TIMER timer ] says . ]
timer	Start gym workout timer	[IN:CREATE_TIMER Start [SL:TIMER_NAME gym workout ] [SL:METHOD_TIMER timer ] ]
