domain	utterance	semantic_parse
event	Can you tell me what is happening at Liberty Science Center	[IN:GET_EVENT Can you tell me what is happening at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP Liberty Science Center ] ] ] ]
event	Music events in Minneapolis this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT Music events ] in [SL:LOCATION Minneapolis ] [SL:DATE_TIME this weekend ] ]
event	whats happening in san francisco tonight	[IN:GET_EVENT whats happening in [SL:LOCATION san francisco ] [SL:DATE_TIME tonight ] ]
event	What shows are playing at the House of Blues we his week	[IN:GET_EVENT What [SL:CATEGORY_EVENT shows ] are playing at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP the House of Blues ] ] ] we [SL:DATE_TIME his week ] ]
event	where is todays meeting in tacoma	[IN:GET_EVENT where is [SL:DATE_TIME todays ] [SL:CATEGORY_EVENT meeting ] in [SL:LOCATION tacoma ] ]
event	star wars events near me today	[IN:GET_EVENT [SL:CATEGORY_EVENT star wars events ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] [SL:DATE_TIME today ] ]
event	What types of things can I do in Atlanta on the third weekend	[IN:GET_EVENT What types of things can I do in [SL:LOCATION Atlanta ] [SL:DATE_TIME on the third weekend ] ]
event	Events in Wadsworth	[IN:GET_EVENT Events in [SL:LOCATION Wadsworth ] ]
event	what's happening for families this weekend	[IN:GET_EVENT what 's happening for [SL:ATTRIBUTE_EVENT families ] [SL:DATE_TIME this weekend ] ]
event	Find me something to do in Boston this weekend	[IN:GET_EVENT Find me something to do in [SL:LOCATION Boston ] [SL:DATE_TIME this weekend ] ]
event	Photography classes in Ukiah	[IN:GET_EVENT [SL:CATEGORY_EVENT Photography classes ] in [SL:LOCATION Ukiah ] ]
event	Are there any good bands coming through New York this week	[IN:GET_EVENT Are there any good [SL:CATEGORY_EVENT bands ] coming through [SL:LOCATION New York ] [SL:DATE_TIME this week ] ]
event	christmas parties this december	[IN:GET_EVENT [SL:CATEGORY_EVENT christmas parties ] [SL:DATE_TIME this december ] ]
event	Is there any holiday plays to see this weekend in San Jose	[IN:GET_EVENT Is there any [SL:DATE_TIME holiday ] [SL:CATEGORY_EVENT plays ] to see [SL:DATE_TIME this weekend ] in [SL:LOCATION San Jose ] ]
event	Are there any Christmas Parades in NH in December	[IN:GET_EVENT Are there any [SL:DATE_TIME Christmas ] [SL:CATEGORY_EVENT Parades ] in [SL:LOCATION NH ] [SL:DATE_TIME in December ] ]
event	Help me find an event in Birmingham this weekend	[IN:GET_EVENT Help me find an event in [SL:LOCATION Birmingham ] [SL:DATE_TIME this weekend ] ]
event	Tell me about things to do in Atlanta on New year's Eve	[IN:GET_EVENT Tell me about things to do in [SL:LOCATION Atlanta ] [SL:DATE_TIME on New year 's Eve ] ]
event	Are any Fourth of July festivals pet friendly	[IN:GET_EVENT Are any [SL:DATE_TIME Fourth of July ] [SL:CATEGORY_EVENT festivals ] [SL:ATTRIBUTE_EVENT pet friendly ] ]
event	Any events available in Madison Heights this morning	[IN:GET_EVENT Any events available in [SL:LOCATION Madison Heights ] [SL:DATE_TIME this morning ] ]
event	What is going on for tomorrow	[IN:GET_EVENT What is going on [SL:DATE_TIME for tomorrow ] ]
event	What is going on today	[IN:GET_EVENT What is going on [SL:DATE_TIME today ] ]
event	Is Jack going to the concert	[IN:GET_EVENT_ATTENDEE Is [SL:ATTENDEE_EVENT Jack ] going to [SL:CATEGORY_EVENT the concert ] ]
event	Wine tasting events near me	[IN:GET_EVENT [SL:CATEGORY_EVENT Wine tasting events ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
event	Are there any sporting events in San Jose today	[IN:GET_EVENT Are there any [SL:CATEGORY_EVENT sporting events ] in [SL:LOCATION San Jose ] [SL:DATE_TIME today ] ]
event	Free Christmas lights to see near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT Free ] [SL:DATE_TIME Christmas ] [SL:CATEGORY_EVENT lights ] to see [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
event	I'm wanting to get into running, can you tell me if there's any events happening for runners nearby	[IN:GET_EVENT I'm wanting to get into running , can you tell me if there 's any events happening for [SL:ATTRIBUTE_EVENT runners ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER nearby ] ] ] ]
event	What kind of events are happening today	[IN:GET_EVENT What kind of events are happening [SL:DATE_TIME today ] ]
event	what artsy event can i go to tomorrow night downtown	[IN:GET_EVENT what [SL:CATEGORY_EVENT artsy event ] can i go to [SL:DATE_TIME tomorrow night ] [SL:LOCATION downtown ] ]
event	any concert presales going on at the BJCC	[IN:GET_EVENT any [SL:CATEGORY_EVENT concert presales ] going on at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP the BJCC ] ] ] ]
event	Are there sales events at the local mall	[IN:GET_EVENT Are there [SL:CATEGORY_EVENT sales events ] at [SL:LOCATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER local ] [SL:CATEGORY_LOCATION mall ] ] ] ]
event	Is Metro Community College having cooking classes	[IN:GET_EVENT Is [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP Metro Community College ] ] ] having [SL:CATEGORY_EVENT cooking classes ] ]
event	Things to do in Montgomery Alabama	[IN:GET_EVENT Things to do in [SL:LOCATION Montgomery Alabama ] ]
event	Is there any concert that is playing tonight in San Jose	[IN:GET_EVENT Is there any [SL:CATEGORY_EVENT concert ] that is playing [SL:DATE_TIME tonight ] in [SL:LOCATION San Jose ] ]
event	Christmas events in New York	[IN:GET_EVENT [SL:DATE_TIME Christmas ] events in [SL:DATE_TIME New York ] ]
event	Hotel events in Miami	[IN:GET_EVENT [SL:CATEGORY_EVENT Hotel events ] in [SL:LOCATION Miami ] ]
event	Concerts by ACDC	[IN:GET_EVENT [SL:CATEGORY_EVENT Concerts ] by [SL:NAME_EVENT ACDC ] ]
event	concerts by p diddy	[IN:GET_EVENT [SL:CATEGORY_EVENT concerts ] by [SL:NAME_EVENT p diddy ] ]
event	When is the Pink concert coming near me	[IN:GET_EVENT When is the [SL:NAME_EVENT Pink ] [SL:CATEGORY_EVENT concert ] coming [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
event	brantley gilbert concerts	[IN:GET_EVENT [SL:NAME_EVENT brantley gilbert ] [SL:CATEGORY_EVENT concerts ] ]
